Cod_Classe;Cod_Test;Regione;Data Validit…;Categoria;Uso;Specialita;CtarG Prova;Euro;DataCostruzione;CIntegrazioneComplessi;Alimentazione;C_KW;C_CV;Potenza;HP;Cilindrata;Ecologico;InstazioneImpianto;DataInstazioneImpianto;Portata;;AssiMotrice;AssiRimorchio;SospensioniPneumatiche;GncioTraino;PesoRimorchio;12(mensilità);11;10;9;8;7;6;5;4;3;2;1;
Cod_Classe;Cod_Test;Regione;Data Validit…;Classe;Uso;Specialit…;CtarG Prova;Euro;DataCostruzione;CIntegrazioneComplessi;Alim;KW;CV;HP;Potenza;Cilindrata;Ecologico;InstazioneImpianto;DataInstazioneImpianto;Portata;Peso;Assi Motrice;Assi Rimorchio;SospensioniPneumatiche;GncioTraino;PesoRimorchio;12(da controllare sempre);11;10;9;8;7;6;5;4;3;2;1;Congr. Formule
Bollo.c01.01;01-01;UMBRIA;01/01/2022;AB;NR;;;0;01/01/2022;;B;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.02;01-01;UMBRIA;01/01/2022;AB;NR;;;1;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;NO;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.03;01-01;UMBRIA;01/01/2022;AB;NR;;;2;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;323,4;305,8;278,3;249,7;222,2;194,7;167,2;138,6;111,1;83,6;55,55;27,83;
Bollo.c01.04;01-01;UMBRIA;01/01/2022;AB;NR;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.05;01-01;UMBRIA;01/01/2022;AB;NR;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;176,4;166,8;151,8;136,2;121,2;106,2;91,2;75,6;60,6;45,6;30,3;15,18;
Bollo.c01.06;01-01;UMBRIA;01/01/2022;AB;NR;;;0;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.07;01-01;UMBRIA;01/01/2022;AB;NR;;;1;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.08;01-01;UMBRIA;01/01/2022;AB;NR;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.09;01-01;UMBRIA;01/01/2022;AB;NR;;;4;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.10;01-01;UMBRIA;01/01/2022;AB;NR;;;0;01/01/2022;;B;SI;;;147;;;;;;;;;NO;;;432,18;408,66;371,91;333,69;296,94;260,19;223,44;185,22;148,47;111,72;74,24;37,19;
Bollo.c01.11;01-01;UMBRIA;01/01/2022;AB;NR;;;1;01/01/2022;;B-E;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.12;01-01;UMBRIA;01/01/2022;AB;NR;;;2;01/01/2022;;ET;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.13;01-01;UMBRIA;01/01/2022;AB;NR;;;4;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.14;01-01;UMBRIA;01/01/2022;AB;NR;;;2;01/01/2022;;G;SI;;;90;;;;;;;;;NO;;;264,6;250,2;227,7;204,3;181,8;159,3;136,8;113,4;90,9;68,4;45,45;22,77;
Bollo.c01.15;01-01;UMBRIA;01/01/2022;AB;NR;;;4;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.16;01-01;UMBRIA;01/01/2022;AB;NR;;;0;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.17;01-01;UMBRIA;01/01/2022;AB;NR;;;1;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.18;01-01;UMBRIA;01/01/2022;AB;NR;;;2;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.19;01-01;UMBRIA;01/01/2022;AB;PV;;;0;01/01/2022;;B-E;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.20;01-01;UMBRIA;01/01/2022;AB;PV;;;1;01/01/2022;;ET;SI;;;110;;;;;;;;;NO;;;323,4;305,8;278,3;249,7;222,2;194,7;167,2;138,6;111,1;83,6;55,55;27,83;
Bollo.c01.21;01-01;UMBRIA;01/01/2022;AB;PV;;;2;01/01/2022;;GP;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.22;01-01;UMBRIA;01/01/2022;AB;PV;;;4;01/01/2022;;G;SI;;;60;;;;;;;;;NO;;;176,4;166,8;151,8;136,2;121,2;106,2;91,2;75,6;60,6;45,6;30,3;15,18;
Bollo.c01.23;01-01;UMBRIA;01/01/2022;AB;PV;;;2;01/01/2018;;ELE;SI;;;146;;;;;;;;;NO;;;429,24;405,88;369,38;331,42;294,92;258,42;221,92;183,96;147,46;110,96;73,73;36,94;
Bollo.c01.24;01-01;UMBRIA;01/01/2022;AB;PV;;;4;01/01/2018;;ELE;SI;;;136;;;;;;;;;NO;;;399,84;378,08;344,08;308,72;274,72;240,72;206,72;171,36;137,36;103,36;68,68;34,41;
Bollo.c01.25;01-01;UMBRIA;01/01/2022;AB;PV;;;0;01/01/2018;;ELE;SI;;;100;;;;;;;;;NO;;;294;278;253;227;202;177;152;126;101;76;50,5;25,3;
Bollo.c01.26;01-01;UMBRIA;01/01/2022;AB;PV;;;1;01/01/2018;;ELE;SI;;;60;;;;;;;;;NO;;;176,4;166,8;151,8;136,2;121,2;106,2;91,2;75,6;60,6;45,6;30,3;15,18;
